[INFO ] 2025-10-23 16:40:48,917 [repositories/fdp | c.o.g.s.h.GraphDBQueryResultHandler] POST query 2019807964
[INFO ] 2025-10-23 16:40:48,936 [repositories/fdp | c.o.g.s.TupleQueryResultView] Request for query 2019807964 is finished
[INFO ] 2025-10-23 16:41:06,320 [repositories/fdp | c.o.g.s.h.GraphDBQueryResultHandler] POST query 2019807964
[INFO ] 2025-10-23 16:41:06,328 [repositories/fdp | c.o.g.s.TupleQueryResultView] Request for query 2019807964 is finished
[INFO ] 2025-10-23 16:43:56,560 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 16:43:56,572 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 16:43:56,580 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 16:43:56,593 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 16:43:56,597 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 16:43:56,935 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 16:43:56,970 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 16:43:56,979 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 16:43:56,984 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 16:43:56,988 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 16:43:56,992 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 16:43:57,286 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 16:43:57,290 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 16:43:57,301 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 16:43:57,305 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 16:43:57,312 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 16:43:57,315 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 16:43:57,657 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 16:43:57,689 [repositories/fdp | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1618200469
[INFO ] 2025-10-23 16:43:57,693 [repositories/fdp | c.o.g.s.TupleQueryResultView] Request for query 1618200469 is finished
[INFO ] 2025-10-23 16:43:57,842 [repositories/fdp | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1618200469
[INFO ] 2025-10-23 16:43:57,853 [repositories/fdp | c.o.g.s.TupleQueryResultView] Request for query 1618200469 is finished
[INFO ] 2025-10-23 16:43:58,082 [repositories/fdp | c.o.g.s.h.GraphDBQueryResultHandler] POST query 2019807964
[INFO ] 2025-10-23 16:43:58,092 [repositories/fdp | c.o.g.s.TupleQueryResultView] Request for query 2019807964 is finished
[INFO ] 2025-10-23 18:36:39,893 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 18:36:39,908 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 18:36:39,934 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:36:39,950 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:36:39,955 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:36:40,388 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:36:40,438 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 18:36:40,449 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 18:36:40,456 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:36:40,461 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:36:40,465 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:36:40,796 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:36:40,801 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 18:36:40,811 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 18:36:40,818 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:36:40,825 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:36:40,830 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:36:41,228 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:36:41,296 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 18:36:41,309 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 18:36:41,315 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:36:41,322 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:36:41,327 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:36:41,663 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:36:41,669 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 18:36:41,678 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 18:36:41,683 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:36:41,688 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:36:41,691 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:36:42,035 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:36:42,413 [repositories/fdp | c.o.g.s.h.GraphDBQueryResultHandler] POST query 2019807964
[INFO ] 2025-10-23 18:36:42,419 [repositories/fdp | c.o.g.s.TupleQueryResultView] Request for query 2019807964 is finished
[INFO ] 2025-10-23 18:37:01,265 [repositories/fdp | c.o.g.s.h.GraphDBQueryResultHandler] POST query 2019807964
[INFO ] 2025-10-23 18:37:01,270 [repositories/fdp | c.o.g.s.TupleQueryResultView] Request for query 2019807964 is finished
[INFO ] 2025-10-23 18:46:50,234 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 18:46:50,247 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 18:46:50,254 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:46:50,284 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:46:50,288 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:46:50,733 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:46:50,781 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 18:46:50,793 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 18:46:50,797 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:46:50,818 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:46:50,821 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:46:51,210 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:46:51,216 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 18:46:51,226 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 18:46:51,231 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:46:51,263 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:46:51,267 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:46:51,766 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:46:51,851 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 18:46:51,862 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 18:46:51,868 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:46:51,892 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:46:51,896 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:46:52,352 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:46:52,357 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 18:46:52,368 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 18:46:52,376 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:46:52,408 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:46:52,413 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:46:52,830 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:46:52,895 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 18:46:52,905 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 18:46:52,911 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:46:52,929 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:46:52,933 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:46:53,273 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:46:53,279 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 18:46:53,288 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 18:46:53,295 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 18:46:53,304 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 18:46:53,308 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
